Date,Open,High,Low,Close,Volume,Change
2023-04-04,11230,11530,11230,11380,25592,-0.0008779631255487
2023-04-05,11550,11800,11400,11610,16295,0.0202108963093146
2023-04-06,11610,11610,11300,11320,18069,-0.0249784668389319
2023-04-07,11300,11410,11260,11400,12472,0.0070671378091873
2023-04-10,11400,11430,11110,11190,21341,-0.0184210526315788
2023-04-11,11250,11350,11000,11250,17946,0.0053619302949061
2023-04-12,11200,11330,11120,11210,9557,-0.0035555555555555
2023-04-13,11220,11280,11130,11250,13658,0.0035682426404994
2023-04-14,11290,11550,11250,11310,17421,0.0053333333333334
2023-04-17,11370,11860,11340,11770,41800,0.0406719717064545
2023-04-18,11740,11740,11510,11670,15728,-0.0084961767204757
2023-04-19,11620,11670,11440,11530,19215,-0.0119965724078834
2023-04-20,11530,11630,11210,11390,23523,-0.0121422376409366
2023-04-21,11340,11420,11050,11150,25530,-0.0210711150131694
2023-04-24,11150,11190,10950,10970,15221,-0.0161434977578475
2023-04-25,10750,10960,10600,10680,37501,-0.0264357338195077
2023-04-26,10520,10970,10410,10670,10045,-0.0009363295880149
2023-04-27,10520,10660,10380,10520,13839,-0.014058106841612
2023-04-28,10500,10700,10420,10630,15281,0.0104562737642586
2023-05-02,10590,10690,10460,10630,9399,0.0
2023-05-03,10440,11000,10440,10770,10157,0.013170272812794
2023-05-04,10600,10820,10590,10760,6041,-0.0009285051067781
2023-05-08,10740,10870,10550,10640,12376,-0.0111524163568773
2023-05-09,10500,10700,10430,10500,10072,-0.0131578947368421
2023-05-10,10360,10780,10360,10680,6180,0.0171428571428571
2023-05-11,10630,10750,10570,10580,5354,-0.0093632958801498
2023-05-12,10550,10800,10450,10460,10569,-0.0113421550094517
2023-05-15,10320,10510,10100,10120,23441,-0.0325047801147228
2023-05-16,10030,10350,10010,10100,14647,-0.0019762845849802
2023-05-17,10100,10470,10050,10460,14737,0.0356435643564356
2023-05-18,10410,10550,10300,10460,7474,0.0
2023-05-19,10460,10590,10400,10550,17918,0.0086042065009559
2023-05-22,10550,10770,10480,10770,11233,0.0208530805687203
2023-05-23,10770,10810,10600,10680,10040,-0.0083565459610027
2023-05-24,10600,10680,10310,10410,9252,-0.0252808988764045
2023-05-25,10470,10530,10320,10390,6683,-0.0019212295869356
2023-05-26,10700,10720,10320,10450,11082,0.0057747834456207
2023-05-30,10500,10500,10330,10360,12055,-0.0086124401913875
2023-05-31,10370,10500,10100,10500,32765,0.0135135135135135
2023-06-01,10530,10890,10430,10880,14417,0.0361904761904761
2023-06-02,10880,10880,10640,10690,9539,-0.0174632352941176
2023-06-05,10680,10900,10620,10710,8218,0.0018709073900842
2023-06-07,10680,10790,10630,10710,4264,0.0
2023-06-08,10590,10710,10450,10470,7861,-0.0224089635854342
