Date,Open,High,Low,Close,Volume,Change
2023-04-04,4460,4480,4430,4475,206287,0.0033632286995515237
2023-04-05,4470,4475,4420,4425,227414,-0.011173184357541888
2023-04-06,4360,4425,4360,4410,168644,-0.003389830508474523
2023-04-07,4410,4425,4385,4400,112868,-0.0022675736961451642
2023-04-10,4400,4400,4320,4355,256509,-0.010227272727272751
2023-04-11,4360,4375,4345,4370,250403,0.003444316877152742
2023-04-12,4380,4380,4345,4360,181127,-0.0022883295194507935
2023-04-13,4340,4360,4320,4360,292339,0.0
2023-04-14,4375,4465,4355,4455,556231,0.02178899082568808
2023-04-17,4455,4465,4410,4455,246634,0.0
2023-04-18,4455,4465,4430,4450,343642,-0.001122334455667784
2023-04-19,4460,4460,4400,4420,332427,-0.006741573033707815
2023-04-20,4405,4420,4395,4420,303440,0.0
2023-04-21,4420,4425,4370,4375,419357,-0.010180995475113086
2023-04-24,4390,4395,4330,4355,327285,-0.00457142857142856
2023-04-25,4360,4375,4310,4340,277848,-0.003444316877152742
2023-04-26,4355,4355,4290,4315,286661,-0.005760368663594417
2023-04-27,4315,4340,4305,4310,241110,-0.0011587485515642815
2023-04-28,4315,4415,4310,4415,254102,0.024361948955916368
2023-05-02,4360,4405,4340,4370,327821,-0.010192525481313663
2023-05-03,4355,4360,4315,4335,272830,-0.008009153318077833
2023-05-04,4335,4335,4315,4325,250197,-0.0023068050749711633
2023-05-08,4345,4350,4305,4350,225397,0.005780346820809301
2023-05-09,4350,4360,4320,4350,217094,0.0
2023-05-10,4345,4385,4315,4355,379643,0.0011494252873562871
2023-05-11,4365,4390,4350,4385,252564,0.006888633754305484
2023-05-12,4385,4400,4350,4395,238155,0.0022805017103761926
2023-05-15,4395,4405,4375,4400,282132,0.0011376564277587597
2023-05-16,4410,4480,4410,4470,502316,0.015909090909090873
2023-05-17,4455,4500,4430,4480,265427,0.0022371364653244186
2023-05-18,4510,4525,4480,4520,251293,0.008928571428571397
2023-05-19,4520,4525,4495,4520,244190,0.0
2023-05-22,4520,4535,4500,4510,177004,-0.0022123893805309214
2023-05-23,4520,4520,4470,4475,251414,-0.0077605321507761005
2023-05-24,4475,4500,4460,4490,145937,0.003351955307262511
2023-05-25,4490,4505,4475,4490,168880,0.0
2023-05-26,4510,4510,4460,4490,199981,0.0
2023-05-30,4490,4530,4475,4530,372528,0.008908685968819663
2023-05-31,4530,4600,4530,4545,717489,0.0033112582781456013
2023-06-01,4550,4595,4525,4565,215869,0.004400440044004306
2023-06-02,4565,4575,4530,4570,151864,0.0010952902519167917
2023-06-05,4540,4610,4540,4610,267634,0.00875273522975939
2023-06-07,4585,4640,4585,4625,257843,0.0032537960954446277
2023-06-08,4625,4630,4595,4615,237185,-0.00216216216216214
2023-06-09,4620,4625,4595,4615,245612,0.0
2023-06-12,4615,4620,4595,4615,191024,0.0
2023-06-13,4610,4615,4600,4610,200519,-0.0010834236186348933
2023-06-14,4620,4625,4580,4585,267476,-0.005422993492407824
2023-06-15,4590,4600,4565,4570,236191,-0.0032715376226826187
2023-06-16,4570,4585,4530,4565,334534,-0.001094091903719896
2023-06-19,4570,4580,4545,4575,282503,0.0021905805038335835
2023-06-20,4580,4585,4545,4575,329427,0.0
2023-06-21,4565,4570,4520,4535,324454,-0.008743169398907069
2023-06-22,4555,4555,4470,4480,363422,-0.012127894156560126
2023-06-23,4480,4480,4385,4400,498364,-0.017857142857142905
2023-06-26,4400,4410,4385,4405,416464,0.001136363636363713
2023-06-27,4405,4485,4405,4485,273248,0.018161180476730987
2023-06-28,4495,4495,4425,4440,468883,-0.010033444816053505
2023-06-29,4300,4325,4265,4305,705439,-0.030405405405405372
2023-06-30,4305,4310,4265,4285,339808,-0.004645760743321681
2023-07-03,4290,4295,4215,4220,545418,-0.01516919486581092
2023-07-04,4245,4245,4175,4195,470242,-0.005924170616113722
2023-07-05,4200,4200,4120,4120,465402,-0.017878426698450522
2023-07-06,4165,4165,4080,4120,351597,0.0
2023-07-07,4100,4110,4035,4080,374127,-0.009708737864077666
2023-07-10,4075,4095,4040,4040,279376,-0.009803921568627416
2023-07-11,4040,4150,4030,4140,401278,0.024752475247524774
2023-07-12,4120,4170,4120,4170,168516,0.007246376811594235
2023-07-13,4180,4310,4155,4305,354319,0.03237410071942448
2023-07-14,4290,4300,4230,4250,248416,-0.012775842044134733
2023-07-17,4250,4250,4150,4180,214510,-0.016470588235294126
2023-07-18,4180,4195,4145,4150,163078,-0.0071770334928229484
2023-07-19,4190,4190,4125,4150,145019,0.0
2023-07-20,4150,4185,4140,4145,120433,-0.001204819277108471
2023-07-21,4145,4200,4130,4150,218230,0.0012062726176116367
2023-07-24,4130,4145,4070,4085,302800,-0.015662650602409678
2023-07-25,4085,4110,4065,4110,180389,0.006119951040391758
2023-07-26,4105,4105,4055,4060,232455,-0.012165450121654486
2023-07-27,4045,4075,3975,4010,567596,-0.012315270935960632
2023-07-28,4000,4060,3970,4060,394104,0.012468827930174564
2023-07-31,4015,4080,4000,4030,319270,-0.007389162561576401
2023-08-01,4030,4065,4025,4040,258257,0.002481389578163684
2023-08-02,4045,4070,4030,4040,231996,0.0
2023-08-03,4030,4080,4000,4020,355828,-0.004950495049504955
2023-08-04,4010,4045,3970,4000,413227,-0.00497512437810943
2023-08-07,4000,4000,3965,3980,344326,-0.0050000000000000044
2023-08-08,3995,3995,3900,3910,530575,-0.017587939698492483
2023-08-09,3915,3950,3855,3900,651804,-0.002557544757033292
2023-08-10,3920,3920,3800,3830,710013,-0.017948717948717996
2023-08-11,3835,3890,3775,3800,731565,-0.007832898172323799
2023-08-14,3795,3925,3735,3895,665495,0.02499999999999991
2023-08-16,3885,3890,3800,3880,246709,-0.0038510911424903815
2023-08-17,3850,3850,3795,3815,254902,-0.01675257731958768
2023-08-18,3810,3860,3790,3815,223323,0.0
2023-08-21,3860,3905,3830,3865,155539,0.013106159895150737
2023-08-22,3865,3910,3855,3890,100574,0.0064683053040104355
2023-08-23,3895,3895,3830,3845,106424,-0.011568123393316143
2023-08-24,3855,3870,3830,3845,114530,0.0
2023-08-25,3845,3875,3840,3875,96877,0.007802340702210753
2023-08-28,3880,3990,3875,3990,217422,0.029677419354838808
2023-08-29,3990,4065,3970,4040,138065,0.012531328320801949
2023-08-30,4065,4100,4045,4085,153039,0.011138613861386037
2023-08-31,4090,4200,4080,4165,360937,0.019583843329253448
2023-09-01,4165,4180,4125,4140,116480,-0.00600240096038418
2023-09-04,4140,4140,4020,4070,142147,-0.016908212560386437
2023-09-05,4070,4070,4005,4040,141997,-0.0073710073710073765
2023-09-06,4020,4075,4005,4070,155312,0.007425742574257432
2023-09-07,4075,4075,3990,4000,190794,-0.017199017199017175
2023-09-08,4005,4060,3970,4060,187764,0.014999999999999902
2023-09-11,4060,4065,4010,4035,122880,-0.006157635467980316
2023-09-12,4035,4040,4005,4035,72462,0.0
2023-09-13,4030,4035,4010,4025,104042,-0.0024783147459727095
2023-09-14,4035,4060,4010,4040,149389,0.003726708074534235
2023-09-15,4035,4140,4020,4140,322982,0.024752475247524774
2023-09-18,4100,4150,4065,4065,198796,-0.018115942028985477
2023-09-19,4070,4125,4065,4090,88090,0.006150061500614923
2023-09-20,4060,4125,4060,4105,76122,0.003667481662591676
2023-09-21,4100,4140,4080,4100,161494,-0.0012180267965895553
2023-09-22,4095,4100,4045,4055,174713,-0.01097560975609757
2023-09-25,4090,4090,4020,4050,116566,-0.0012330456226880004
2023-09-26,4050,4050,4000,4030,116264,-0.004938271604938316
2023-09-27,4080,4080,3955,4070,181779,0.00992555831265518
2023-10-04,4060,4060,3990,4030,335676,-0.009828009828009798
2023-10-05,4035,4050,4025,4030,66124,0.0
2023-10-06,4040,4040,4000,4020,118185,-0.002481389578163795
2023-10-10,4010,4040,3970,3995,165988,-0.006218905472636815
2023-10-11,4040,4040,3990,4040,124051,0.01126408010012514
2023-10-12,4040,4045,4020,4030,77747,-0.0024752475247524774
2023-10-13,4040,4055,3970,4035,279053,0.001240694789081953
2023-10-16,4035,4040,4000,4020,179375,-0.0037174721189591198
2023-10-17,4020,4050,4010,4050,144243,0.00746268656716409
2023-10-18,4045,4050,4005,4025,137284,-0.006172839506172867
2023-10-19,4015,4030,3995,3995,173050,-0.007453416149068359
2023-10-20,3990,3995,3945,3955,274735,-0.010012515644555742
2023-10-23,3985,3985,3870,3885,353463,-0.017699115044247815
2023-10-24,3885,3930,3860,3895,144843,0.002574002574002643
2023-10-25,3940,3955,3900,3955,128688,0.015404364569961526
2023-10-26,3945,3945,3905,3945,112586,-0.0025284450063211006
2023-10-27,3935,3970,3925,3940,51124,-0.0012674271229404788
2023-10-30,3940,3985,3925,3980,99042,0.010152284263959421
2023-10-31,3970,3990,3935,3935,170622,-0.011306532663316604
2023-11-01,3975,3975,3925,3930,83429,-0.0012706480304955914
2023-11-02,3925,3970,3920,3960,200343,0.007633587786259444
2023-11-03,3965,4045,3960,4030,278692,0.017676767676767735
2023-11-06,4040,4070,3995,4065,178866,0.008684863523573227
2023-11-07,4065,4065,4040,4060,108014,-0.0012300123001229846
2023-11-08,4060,4070,4025,4050,108370,-0.0024630541871921707
2023-11-09,4050,4065,4035,4050,96481,0.0
2023-11-10,4050,4050,4005,4025,80778,-0.006172839506172867
2023-11-13,4050,4060,4005,4025,72966,0.0
2023-11-14,4045,4045,4015,4015,75100,-0.00248447204968949
2023-11-15,4040,4095,4040,4065,239246,0.012453300124533051
2023-11-16,4065,4080,4055,4070,101880,0.0012300123001229846
2023-11-17,4070,4130,4060,4100,154535,0.0073710073710073765
2023-11-20,4100,4160,4100,4160,188394,0.014634146341463428
2023-11-21,4160,4200,4140,4145,153238,-0.0036057692307692735
2023-11-22,4145,4155,4120,4145,80289,0.0
2023-11-23,4150,4170,4135,4150,67121,0.0012062726176116367
2023-11-24,4150,4175,4145,4160,97779,0.002409638554216942
