Date,Open,High,Low,Close,Volume,Change
2023-04-04,1201,1236,1200,1223,130303,0.011579818031431
2023-04-05,1223,1256,1213,1238,360571,0.0122649223221587
2023-04-06,1227,1232,1204,1212,89134,-0.0210016155088853
2023-04-07,1224,1224,1200,1206,87287,-0.0049504950495049
2023-04-10,1199,1207,1131,1131,218588,-0.0621890547263681
2023-04-11,1135,1150,1130,1145,93408,0.0123784261715296
2023-04-12,1144,1173,1144,1160,91390,0.0131004366812226
2023-04-13,1154,1192,1154,1179,53692,0.0163793103448275
2023-04-14,1190,1293,1180,1277,1930349,0.0831212892281594
2023-04-17,1289,1318,1270,1280,547917,0.0023492560689115
2023-04-18,1279,1279,1237,1270,199589,-0.0078125
2023-04-19,1283,1283,1238,1265,136394,-0.0039370078740157
2023-04-20,1262,1262,1223,1223,120781,-0.033201581027668
2023-04-21,1223,1229,1149,1218,153858,-0.0040883074407195
2023-04-24,1198,1309,1170,1300,491463,0.0673234811165846
2023-04-25,1288,1341,1240,1284,418802,-0.0123076923076923
2023-04-26,1259,1312,1244,1310,660243,0.0202492211838005
2023-04-27,1310,1317,1281,1309,435852,-0.0007633587786259
2023-04-28,1341,1345,1264,1324,628249,0.0114591291061878
2023-05-02,1295,1338,1295,1305,273685,-0.0143504531722054
2023-05-03,1303,1312,1255,1255,122312,-0.0383141762452107
2023-05-04,1270,1319,1242,1305,132051,0.0398406374501991
2023-05-08,1305,1343,1294,1315,177231,0.0076628352490422
2023-05-09,1328,1365,1310,1345,444149,0.0228136882129277
2023-05-10,1325,1355,1315,1330,131635,-0.0111524163568773
2023-05-11,1355,1355,1287,1327,133491,-0.0022556390977443
2023-05-12,1319,1319,1282,1308,76954,-0.014318010550113
2023-05-15,1280,1295,1203,1222,273811,-0.0657492354740061
2023-05-16,1223,1260,1223,1240,83295,0.0147299509001637
2023-05-17,1239,1279,1225,1235,62367,-0.0040322580645161
2023-05-18,1237,1246,1225,1234,63356,-0.0008097165991902
2023-05-19,1288,1288,1231,1242,51795,0.0064829821717991
2023-05-22,1237,1271,1237,1269,42853,0.0217391304347827
2023-05-23,1259,1269,1244,1250,65490,-0.0149724192277383
2023-05-24,1246,1300,1233,1290,65367,0.032
2023-05-25,1285,1330,1271,1305,214143,0.0116279069767442
2023-05-26,1305,1344,1296,1314,89882,0.0068965517241379
2023-05-30,1315,1343,1305,1327,177454,0.0098934550989344
2023-05-31,1327,1334,1285,1300,90000,-0.0203466465712132
2023-06-01,1300,1310,1281,1308,85715,0.0061538461538461
2023-06-02,1309,1318,1287,1305,51054,-0.0022935779816514
2023-06-05,1292,1335,1291,1329,226024,0.0183908045977012
2023-06-07,1330,1330,1312,1326,33544,-0.002257336343115
2023-06-08,1320,1331,1310,1327,64806,0.0007541478129713
2023-06-09,1327,1327,1314,1324,39474,-0.0022607385079125
2023-06-12,1320,1322,1272,1322,87906,-0.0015105740181269
2023-06-13,1309,1327,1304,1323,51990,0.0007564296520423
2023-06-14,1323,1323,1260,1293,62597,-0.0226757369614512
2023-06-15,1273,1279,1235,1235,60289,-0.0448569218870843
2023-06-16,1225,1320,1225,1259,209276,0.0194331983805668
2023-06-19,1262,1271,1241,1266,40487,0.005559968228753
2023-06-20,1259,1259,1227,1233,55480,-0.0260663507109004
2023-06-21,1240,1300,1212,1255,60424,0.0178426601784265
2023-06-22,1255,1255,1232,1240,83123,-0.0119521912350597
2023-06-23,1240,1257,1196,1239,104831,-0.0008064516129032
2023-06-26,1239,1251,1213,1250,109428,0.0088781275221954
2023-06-27,1240,1311,1233,1300,164528,0.04
2023-06-28,1290,1300,1265,1291,101568,-0.0069230769230769
2023-06-29,1275,1283,1251,1263,91965,-0.021688613477924
2023-06-30,1250,1263,1232,1260,60432,-0.002375296912114
2023-07-03,1254,1281,1249,1277,85371,0.0134920634920634
2023-07-04,1284,1290,1258,1279,85599,0.0015661707126077
2023-07-05,1279,1295,1260,1295,202231,0.0125097732603596
2023-07-06,1283,1284,1250,1251,87062,-0.0339768339768339
2023-07-07,1232,1252,1219,1222,105183,-0.0231814548361311
2023-07-10,1224,1346,1221,1293,697940,0.0581014729950899
2023-07-11,1286,1337,1265,1292,350551,-0.0007733952049496
2023-07-12,1276,1283,1260,1272,114117,-0.0154798761609906
2023-07-13,1273,1514,1273,1327,3978733,0.0432389937106918
2023-07-14,1327,1380,1320,1363,1512611,0.027128862094951
2023-07-17,1377,1380,1300,1325,400901,-0.0278796771826852
2023-07-18,1339,1340,1277,1297,337287,-0.0211320754716981
2023-07-19,1298,1352,1298,1344,433199,0.036237471087124
2023-07-20,1344,1398,1311,1320,407548,-0.0178571428571429
2023-07-21,1319,1360,1294,1342,380973,0.0166666666666666
2023-07-24,1340,1373,1300,1306,588927,-0.0268256333830104
2023-07-25,1310,1311,1245,1250,330402,-0.0428790199081163
2023-07-26,1227,1268,1157,1224,560714,-0.0208
2023-07-27,1210,1317,1208,1228,343466,0.0032679738562091
2023-07-28,1230,1283,1230,1242,72514,0.011400651465798
2023-07-31,1243,1271,1232,1240,89311,-0.001610305958132
2023-08-01,1241,1273,1235,1242,45144,0.0016129032258065
2023-08-02,1245,1246,1220,1225,102617,-0.0136876006441223
2023-08-03,1225,1323,1202,1282,481517,0.0465306122448978
2023-08-04,1276,1289,1256,1272,99887,-0.0078003120124805
2023-08-07,1274,1288,1251,1282,197553,0.0078616352201257
2023-08-08,1305,1335,1234,1234,241451,-0.0374414976599063
2023-08-09,1234,1267,1200,1264,83177,0.0243111831442464
2023-08-10,1266,1347,1250,1300,418594,0.0284810126582277
2023-08-11,1313,1340,1300,1308,188603,0.0061538461538461
2023-08-14,1310,1316,1291,1316,123043,0.0061162079510703
2023-08-16,1313,1351,1300,1319,356188,0.0022796352583587
2023-08-17,1319,1336,1289,1330,151223,0.0083396512509477
2023-08-18,1323,1340,1300,1318,183254,-0.0090225563909774
2023-08-21,1308,1345,1308,1332,188800,0.0106221547799696
2023-08-22,1348,1370,1329,1344,524938,0.0090090090090089
2023-08-23,1338,1368,1324,1345,349818,0.0007440476190476
2023-08-24,1335,1365,1325,1343,150350,-0.0014869888475836
2023-08-25,1339,1357,1302,1325,92949,-0.0134028294862248
2023-08-28,1312,1341,1292,1322,186937,-0.0022641509433962
2023-08-29,1322,1341,1299,1325,163132,0.0022692889561271
2023-08-30,1328,1340,1308,1335,161801,0.0075471698113207
2023-08-31,1337,1365,1336,1345,277613,0.0074906367041198
2023-09-01,1335,1349,1309,1322,155268,-0.0171003717472119
2023-09-04,1322,1330,1288,1294,212508,-0.021180030257186
2023-09-05,1294,1350,1281,1328,318656,0.026275115919629
2023-09-06,1325,1345,1321,1324,82061,-0.0030120481927711
2023-09-07,1327,1340,1260,1313,130146,-0.0083081570996979
2023-09-08,1303,1304,1287,1303,59906,-0.0076161462300076
2023-09-11,1300,1472,1300,1472,7249833,0.1297006907137374
2023-09-12,1554,1600,1355,1374,5757300,-0.0665760869565217
2023-09-13,1377,1394,1340,1385,842141,0.0080058224163026
2023-09-14,1380,1389,1351,1371,539808,-0.0101083032490975
2023-09-15,1386,1386,1343,1359,592958,-0.0087527352297592
2023-09-18,1365,1386,1345,1366,461836,0.0051508462104488
2023-09-19,1364,1387,1308,1325,435131,-0.0300146412884333
2023-09-20,1325,1325,1278,1279,334108,-0.0347169811320754
2023-09-21,1274,1276,1212,1227,368598,-0.0406567630961688
2023-09-22,1227,1248,1213,1226,151611,-0.0008149959250203
2023-09-25,1226,1330,1220,1220,469833,-0.0048939641109299
2023-09-26,1221,1230,1178,1199,270074,-0.0172131147540983
2023-09-27,1186,1214,1180,1207,94818,0.0066722268557131
2023-10-04,1207,1207,1145,1168,191766,-0.0323115161557581
2023-10-05,1168,1190,1137,1150,130738,-0.0154109589041095
2023-10-06,1135,1168,1135,1150,73575,0.0
2023-10-10,1150,1164,1131,1145,131865,-0.0043478260869564
2023-10-11,1145,1178,1118,1161,80205,0.0139737991266375
2023-10-12,1167,1180,1154,1168,82954,0.0060292850990526
2023-10-13,1174,1174,1149,1167,51199,-0.0008561643835616
2023-10-16,1166,1190,1140,1190,100618,0.0197086546700941
2023-10-17,1190,1200,1178,1196,77868,0.0050420168067226
2023-10-18,1196,1205,1172,1192,88172,-0.0033444816053511
2023-10-19,1184,1199,1167,1180,87535,-0.0100671140939597
2023-10-20,1157,1197,1138,1158,54145,-0.0186440677966102
2023-10-23,1129,1158,1100,1119,131010,-0.0336787564766839
2023-10-24,1119,1149,1090,1149,133398,0.0268096514745308
2023-10-25,1160,1175,1140,1165,77431,0.0139251523063532
2023-10-26,1140,1165,1111,1147,73689,-0.015450643776824
2023-10-27,1140,1147,1114,1121,128208,-0.0226678291194419
2023-10-30,1121,1156,1112,1130,38320,0.008028545941124
2023-10-31,1131,1139,1078,1128,95080,-0.0017699115044247
2023-11-01,1128,1131,1100,1129,15501,0.000886524822695
2023-11-02,1130,1150,1116,1145,134965,0.0141718334809566
2023-11-03,1145,1240,1137,1175,185545,0.0262008733624454
2023-11-06,1165,1194,1150,1175,159094,0.0
2023-11-07,1175,1185,1157,1170,33140,-0.0042553191489361
2023-11-08,1175,1292,1151,1211,727379,0.0350427350427351
2023-11-09,1211,1255,1190,1226,619398,0.0123864574731626
2023-11-10,1214,1226,1179,1206,102874,-0.0163132137030994
2023-11-13,1190,1194,1153,1163,138481,-0.0356550580431177
2023-11-14,1160,1190,1160,1170,51256,0.0060189165950128
2023-11-15,1180,1190,1160,1181,56428,0.0094017094017093
2023-11-16,1194,1194,1173,1189,70984,0.0067739204064352
2023-11-17,1195,1195,1175,1190,93509,0.0008410428931875
2023-11-20,1185,1216,1185,1197,82497,0.0058823529411764
2023-11-21,1224,1224,1192,1200,68981,0.0025062656641603
2023-11-22,1210,1210,1177,1192,65224,-0.0066666666666667
2023-11-23,1202,1202,1181,1190,61634,-0.0016778523489933
2023-11-24,1181,1198,1177,1180,57489,-0.0084033613445377
2023-11-27,1180,1186,1151,1175,91808,-0.0042372881355932
2023-11-28,1175,1185,1149,1178,74105,0.0025531914893617
2023-11-29,1178,1178,1157,1170,65971,-0.0067911714770797
2023-11-30,1179,1210,1152,1197,111868,0.0230769230769229
2023-12-01,1189,1215,1170,1190,82423,-0.0058479532163743
2023-12-04,1190,1218,1177,1205,133678,0.0126050420168066
2023-12-05,1190,1270,1185,1210,164610,0.0041493775933609
2023-12-06,1209,1280,1136,1182,215395,-0.0231404958677685
2023-12-07,1182,1200,1155,1185,34738,0.0025380710659899
2023-12-08,1179,1207,1172,1196,50280,0.0092827004219409
2023-12-11,1197,1208,1176,1185,86061,-0.0091973244147157
2023-12-12,1185,1220,1171,1191,85578,0.0050632911392405
2023-12-13,1183,1204,1178,1195,74369,0.0033585222502099
2023-12-14,1201,1220,1182,1206,78319,0.0092050209205021
2023-12-15,1206,1220,1200,1220,36203,0.0116086235489221
2023-12-18,1219,1226,1207,1208,35901,-0.0098360655737704
2023-12-19,1202,1215,1193,1210,43662,0.0016556291390728
2023-12-20,1210,1237,1193,1210,112890,0.0
2023-12-21,1207,1219,1180,1195,75278,-0.0123966942148759
2023-12-22,1198,1198,1177,1190,82616,-0.0041841004184099
2023-12-26,1188,1188,1158,1180,106458,-0.0084033613445377
2023-12-27,1180,1192,1170,1173,102340,-0.0059322033898304
2023-12-28,1178,1205,1173,1190,42616,0.0144927536231884
2024-01-02,1190,1219,1190,1216,42979,0.0218487394957982
2024-01-03,1217,1225,1205,1224,54178,0.006578947368421
2024-01-04,1224,1224,1207,1218,61751,-0.0049019607843137
2024-01-05,1219,1245,1216,1236,76162,0.0147783251231528
2024-01-08,1236,1248,1223,1242,46878,0.0048543689320388
2024-01-09,1248,1248,1234,1246,58220,0.0032206119162641
2024-01-10,1250,1250,1196,1241,33468,-0.0040128410914928
2024-01-11,1242,1247,1217,1236,75377,-0.0040290088638195
2024-01-12,1236,1244,1202,1236,44776,0.0
2024-01-15,1321,1453,1269,1278,5826228,0.0339805825242718
2024-01-16,1279,1318,1255,1293,510618,0.0117370892018779
2024-01-17,1281,1292,1251,1260,278222,-0.025522041763341
2024-01-18,1252,1285,1251,1251,149648,-0.0071428571428571
2024-01-19,1246,1275,1243,1251,141742,0.0
2024-01-22,1257,1260,1235,1244,175011,-0.0055955235811351
2024-01-23,1242,1277,1236,1277,207043,0.0265273311897105
2024-01-24,1270,1285,1264,1269,80212,-0.0062646828504306
2024-01-25,1265,1307,1265,1280,319287,0.0086682427107958
2024-01-26,1279,1314,1276,1295,177644,0.01171875
2024-01-29,1290,1320,1252,1281,211594,-0.0108108108108108
2024-01-30,1280,1300,1256,1262,173504,-0.0148321623731459
2024-01-31,1262,1282,1251,1269,176882,0.0055467511885896
2024-02-01,1280,1310,1271,1272,221874,0.0023640661938533
2024-02-02,1283,1299,1263,1270,99326,-0.0015723270440252
2024-02-05,1271,1283,1249,1265,129894,-0.0039370078740157
2024-02-06,1265,1282,1240,1278,201966,0.0102766798418971
2024-02-07,1350,1350,1277,1300,1248588,0.0172143974960876
2024-02-08,1290,1307,1281,1282,240789,-0.0138461538461538
2024-02-13,1283,1298,1274,1285,74709,0.002340093603744
2024-02-14,1273,1290,1261,1270,136460,-0.0116731517509727
2024-02-15,1273,1302,1248,1285,395681,0.0118110236220472
2024-02-16,1300,1300,1261,1290,142548,0.0038910505836575
2024-02-19,1290,1310,1289,1302,143518,0.0093023255813953
2024-02-20,1302,1310,1289,1296,66300,-0.0046082949308755
2024-02-21,1291,1298,1280,1284,67109,-0.0092592592592593
2024-02-22,1278,1300,1278,1284,107950,0.0
2024-02-23,1284,1345,1272,1309,415748,0.0194704049844236
2024-02-26,1310,1356,1309,1339,694333,0.0229182582123759
2024-02-27,1336,1336,1296,1302,246295,-0.027632561613144
2024-02-28,1296,1310,1278,1293,114239,-0.0069124423963133
2024-02-29,1281,1293,1271,1285,148207,-0.0061871616395978
2024-03-04,1286,1308,1275,1275,183744,-0.0077821011673151
2024-03-05,1274,1300,1251,1255,195752,-0.0156862745098039
2024-03-06,1253,1278,1214,1215,221781,-0.0318725099601593
2024-03-07,1232,1248,1211,1215,148735,0.0
2024-03-08,1211,1249,1208,1211,158742,-0.0032921810699588
2024-03-11,1212,1254,1212,1212,188252,0.000825763831544
2024-03-12,1227,1253,1214,1231,135137,0.0156765676567656
2024-03-13,1243,1243,1208,1210,152277,-0.0170593013809911
2024-03-14,1211,1226,1208,1225,97554,0.0123966942148761
2024-03-15,1217,1219,1185,1194,152500,-0.0253061224489795
2024-03-18,1194,1198,1177,1179,216719,-0.0125628140703517
2024-03-19,1179,1206,1179,1193,94469,0.011874469889737
2024-03-20,1200,1215,1188,1203,76069,0.0083822296730931
2024-03-21,1203,1224,1193,1211,76052,0.0066500415627597
2024-03-22,1211,1224,1204,1215,68036,0.0033030553261768
2024-03-25,1220,1220,1206,1211,65077,-0.0032921810699588
2024-03-26,1203,1227,1203,1216,150943,0.0041288191577208
2024-03-27,1216,1232,1209,1218,92807,0.0016447368421053
2024-03-28,1219,1230,1202,1213,53995,-0.0041050903119869
2024-03-29,1213,1220,1199,1208,70614,-0.0041220115416322
2024-04-01,1217,1237,1206,1233,106265,0.0206953642384106
2024-04-02,1246,1602,1229,1602,31805999,0.2992700729927007
2024-04-03,1561,1990,1447,1677,67497719,0.046816479400749
