Date,Open,High,Low,Close,Volume,Change
2023-04-04,33000,33350,32700,33050,176939,0.0030349013657056
2023-04-05,33400,33400,32900,32900,99315,-0.0045385779122542
2023-04-06,33000,33250,32200,32300,227587,-0.0182370820668692
2023-04-07,32450,32950,32100,32850,111348,0.0170278637770897
2023-04-10,32650,32950,32150,32250,137810,-0.0182648401826484
2023-04-11,32250,32700,32000,32600,132510,0.0108527131782945
2023-04-12,32600,33750,32400,33200,181225,0.01840490797546
2023-04-13,32950,33100,32750,32850,172723,-0.0105421686746988
2023-04-14,33200,34050,33100,33400,307699,0.0167427701674276
2023-04-17,33400,33900,33250,33800,392867,0.0119760479041917
2023-04-18,33600,34350,33300,34000,256469,0.0059171597633136
2023-04-19,33850,34600,33850,33950,198197,-0.0014705882352941
2023-04-20,34150,34350,33200,33300,209763,-0.0191458026509573
2023-04-21,33150,34300,33150,33950,198848,0.0195195195195194
2023-04-24,33950,34300,32950,33000,188127,-0.0279823269513991
2023-04-25,33150,33600,32750,33000,129874,0.0
2023-04-26,33050,34150,32700,33600,275181,0.018181818181818
2023-04-27,33600,34100,33150,33850,207246,0.0074404761904762
2023-04-28,33900,35550,33750,35200,476338,0.0398818316100442
2023-05-02,35250,35400,34500,35200,222355,0.0
2023-05-03,35000,35800,34700,35100,180221,-0.002840909090909
2023-05-04,35100,35650,34600,35450,136489,0.0099715099715098
2023-05-08,35450,36350,35300,36100,232185,0.0183356840620592
2023-05-09,36000,36600,35500,36150,152156,0.0013850415512466
2023-05-10,36200,36350,35550,36050,129217,-0.0027662517289073
2023-05-11,36050,36700,36000,36200,193505,0.0041608876560332
2023-05-12,35900,36050,34900,35350,154228,-0.0234806629834254
2023-05-15,34850,35600,34850,35300,92204,-0.0014144271570014
2023-05-16,35300,35500,34350,34500,130483,-0.0226628895184135
2023-05-17,34250,34600,33950,34350,87669,-0.0043478260869564
2023-05-18,34600,34900,34400,34850,84205,0.014556040756914
2023-05-19,34850,35500,34850,35300,147137,0.0129124820659971
2023-05-22,35250,36150,35200,35950,164885,0.0184135977337109
2023-05-23,36400,37250,36200,36650,225459,0.0194714881780251
2023-05-24,36300,37650,36200,36900,192955,0.0068212824010913
2023-05-25,36650,36900,36000,36300,144922,-0.0162601626016259
2023-05-26,36550,36550,35400,35900,150879,-0.0110192837465564
2023-05-30,36850,37200,36200,36750,170274,0.0236768802228413
2023-05-31,36750,36900,36250,36300,185786,-0.0122448979591837
2023-06-01,36400,36450,35350,36150,141027,-0.0041322314049586
2023-06-02,36200,37100,35900,36750,110375,0.0165975103734439
2023-06-05,36750,37300,36650,37000,100976,0.0068027210884353
2023-06-07,37150,37550,36950,37200,111031,0.0054054054054053
2023-06-08,37200,37400,36550,37300,160108,0.0026881720430107
2023-06-09,37550,37550,36700,37200,110755,-0.002680965147453
2023-06-12,37300,37450,36950,37250,73744,0.0013440860215054
2023-06-13,37300,37300,36300,37000,157272,-0.0067114093959731
2023-06-14,36800,37150,36500,36850,158618,-0.004054054054054
