Date,Open,High,Low,Close,Volume,Change
2023-04-04,3145,3225,2880,2900,4228892,-0.0476190476190476
2023-04-05,2885,3065,2860,2980,1816144,0.0275862068965517
2023-04-06,2920,2950,2810,2865,1189788,-0.0385906040268456
2023-04-07,2870,2890,2760,2770,900194,-0.0331588132635253
2023-04-10,2760,2785,2640,2680,934014,-0.0324909747292418
2023-04-11,2700,2725,2615,2670,675742,-0.003731343283582
2023-04-12,2690,2740,2595,2610,914688,-0.0224719101123596
2023-04-13,2575,2675,2515,2620,810224,0.0038314176245211
2023-04-14,2645,2725,2545,2545,893378,-0.0286259541984732
2023-04-17,2545,2550,2455,2490,505800,-0.0216110019646365
2023-04-18,2485,2495,2410,2455,528599,-0.0140562248995983
2023-04-19,2430,2470,2400,2415,418917,-0.0162932790224032
2023-04-20,2455,2460,2305,2310,592857,-0.0434782608695651
2023-04-21,2285,2350,2265,2280,390703,-0.0129870129870129
2023-04-24,2280,2325,2205,2220,308610,-0.0263157894736841
2023-04-25,2210,2270,2125,2155,451234,-0.0292792792792793
2023-04-26,2140,2270,2130,2200,315210,0.0208816705336427
2023-04-27,2180,2225,2125,2135,276974,-0.0295454545454545
2023-04-28,2165,2165,2045,2085,330746,-0.0234192037470726
2023-05-02,2065,2170,2065,2160,186152,0.0359712230215827
2023-05-03,2150,2150,2090,2115,144988,-0.0208333333333333
2023-05-04,2115,2350,2085,2350,762664,0.1111111111111111
2023-05-08,2260,2355,2215,2220,407782,-0.0553191489361701
2023-05-09,2230,2235,2110,2130,281262,-0.0405405405405405
2023-05-10,2130,2365,2070,2230,1950713,0.0469483568075117
2023-05-11,2180,2320,2140,2170,581284,-0.0269058295964125
2023-05-12,2210,2265,2150,2155,378814,-0.0069124423963133
2023-05-15,2110,2155,2055,2065,365604,-0.0417633410672854
2023-05-16,2055,2100,2005,2025,285596,-0.0193704600484261
2023-05-17,2025,2080,2015,2060,181670,0.0172839506172839
2023-05-18,2065,2675,2065,2490,18837879,0.2087378640776698
2023-05-19,2420,2485,2375,2485,2473767,-0.002008032128514
2023-05-22,2460,2465,2320,2410,1042548,-0.0301810865191146
2023-05-23,2395,2450,2340,2340,870972,-0.0290456431535269
2023-05-24,2320,2350,2280,2330,574533,-0.0042735042735042
2023-05-25,2330,2340,2280,2330,426596,0.0
2023-05-26,2355,2385,2210,2290,792495,-0.0171673819742489
2023-05-30,2290,2325,2240,2310,291740,0.0087336244541484
