Date,Open,High,Low,Close,Volume,Change
2023-04-04,12360,13740,12360,13340,2086736,0.08631921824104238
2023-04-05,13300,13720,13170,13510,760919,0.012743628185907019
2023-04-06,13510,15200,13510,14560,4172651,0.07772020725388606
2023-04-07,14620,14770,14110,14690,847144,0.008928571428571397
2023-04-10,14610,15120,14420,14820,895152,0.008849557522123908
2023-04-11,14880,16150,14880,15450,1794997,0.04251012145748989
2023-04-12,15770,16950,15700,16600,1797968,0.0744336569579287
2023-04-13,16150,16160,15120,15570,884872,-0.06204819277108431
2023-04-14,15610,15950,15340,15550,542172,-0.0012845215157354373
2023-04-17,15620,15670,15120,15290,559294,-0.0167202572347267
2023-04-18,15280,15450,14620,15340,726789,0.0032701111837802888
2023-04-19,15140,15270,14760,15090,357764,-0.01629726205997395
2023-04-20,15100,15280,14610,14680,331533,-0.02717031146454607
2023-04-21,14690,14730,14160,14530,297276,-0.01021798365122617
2023-04-24,14500,14960,14450,14690,197741,0.0110116999311769
2023-04-25,14610,14920,14300,14450,343473,-0.016337644656228778
2023-04-26,14520,14680,14250,14270,191643,-0.01245674740484426
2023-04-27,14270,14320,13870,14230,194573,-0.002803083391730854
2023-04-28,14230,14390,14050,14310,169103,0.005621925509486925
2023-05-02,14430,14940,14260,14800,307654,0.03424178895877006
2023-05-03,14950,15320,14650,14760,500467,-0.002702702702702675
2023-05-04,14900,15280,14500,14800,360621,0.0027100271002709064
2023-05-08,14960,15290,14850,14900,363754,0.006756756756756799
2023-05-09,14940,15110,14380,14400,265186,-0.03355704697986572
2023-05-10,14320,14560,14190,14280,175198,-0.008333333333333304
2023-05-11,14260,14500,14250,14250,107564,-0.0021008403361344463
2023-05-12,14110,14250,13620,13870,313106,-0.026666666666666616
2023-05-15,13890,13940,13550,13870,187753,0.0
2023-05-16,13910,14300,13550,13630,103823,-0.017303532804614274
2023-05-17,13480,13900,13460,13830,130211,0.014673514306676516
2023-05-18,13830,14100,13400,13570,189310,-0.018799710773680367
2023-05-19,13570,14230,13520,14150,235639,0.04274134119380979
2023-05-22,14200,14250,13710,13750,235260,-0.028268551236749095
2023-05-23,13850,13950,13660,13900,144554,0.01090909090909098
2023-05-24,13800,13800,13350,13370,319513,-0.03812949640287766
2023-05-25,13320,13430,13190,13190,135011,-0.013462976813762184
2023-05-26,13190,13380,13000,13080,158875,-0.00833965125094771
2023-05-30,13250,13440,13070,13420,142435,0.025993883792049033
2023-05-31,13390,13480,13120,13160,140802,-0.019374068554396384
2023-06-01,13200,13340,13110,13340,92613,0.013677811550151908
2023-06-02,13360,13390,13170,13290,129930,-0.0037481259370314435
2023-06-05,13290,13680,13290,13580,213524,0.021820917983446098
2023-06-07,13580,13650,13350,13390,122906,-0.013991163475699508
2023-06-08,13450,13600,13090,13330,170335,-0.004480955937266606
2023-06-09,13580,14290,13580,14240,896079,0.06826706676669159
2023-06-12,14150,14190,13260,13300,625782,-0.0660112359550562
2023-06-13,13380,13750,13270,13740,267741,0.03308270676691727
2023-06-14,13740,14010,13590,13820,360569,0.005822416302765587
2023-06-15,13990,14070,13530,13550,204770,-0.01953690303907385
2023-06-16,13640,13780,13470,13490,193312,-0.0044280442804428555
2023-06-19,13490,13670,13300,13640,98570,0.01111934766493694
2023-06-20,13670,14150,13630,13970,368990,0.024193548387096753
2023-06-21,13980,14130,13650,13850,191123,-0.00858983536148894
2023-06-22,13840,13940,13650,13850,128438,0.0
2023-06-23,14000,14420,13900,14350,439623,0.036101083032491044
2023-06-26,14510,14570,14040,14050,379012,-0.020905923344947785
2023-06-27,14050,15150,14040,14950,910142,0.06405693950177938
2023-06-28,14950,15310,14790,15180,545237,0.01538461538461533
2023-06-29,15170,15700,14840,15340,486958,0.010540184453228019
2023-06-30,15240,15490,14900,15010,254974,-0.0215123859191656
2023-07-03,14920,14970,14410,14480,323890,-0.03530979347101937
2023-07-04,14480,14880,14350,14760,233649,0.01933701657458564
2023-07-05,14690,14940,14400,14440,197779,-0.02168021680216803
2023-07-06,14500,14520,13490,13930,430497,-0.035318559556786755
2023-07-07,13900,14350,13380,14130,459443,0.014357501794687755
2023-07-10,14160,14490,13900,14060,227141,-0.004953998584571795
2023-07-11,14170,14170,13430,13500,376397,-0.03982930298719778
2023-07-12,13390,13390,12460,13160,653433,-0.0251851851851852
2023-07-13,13130,13930,13130,13210,580583,0.0037993920972645423
2023-07-14,13240,13330,12800,13170,290631,-0.003028009084027228
2023-07-17,13150,13730,12950,13420,269527,0.018982536066818545
2023-07-18,13430,13490,13100,13190,115262,-0.01713859910581217
2023-07-19,13190,13240,12910,13100,152753,-0.006823351023502622
2023-07-20,13220,13500,13150,13190,79359,0.006870229007633677
2023-07-21,13190,13240,12990,12990,109453,-0.015163002274450332
2023-07-24,12900,13150,12620,12890,199364,-0.007698229407236301
2023-07-25,12880,12880,12450,12450,229865,-0.03413498836307216
2023-07-26,12460,12500,11830,11940,312073,-0.04096385542168679
2023-07-27,11860,12380,11860,12270,179643,0.027638190954773822
2023-07-28,12220,12640,12140,12500,107342,0.018744906275468542
2023-07-31,12550,12550,12280,12390,82369,-0.00880000000000003
2023-08-01,12430,12670,12400,12650,82476,0.02098466505246166
2023-08-02,12550,12720,12370,12480,116434,-0.013438735177865646
2023-08-03,12540,12740,12260,12650,126276,0.013621794871794934
2023-08-04,12540,12650,12420,12480,100329,-0.013438735177865646
2023-08-07,12430,12480,12100,12200,178226,-0.022435897435897467
2023-08-08,12260,12270,11880,11880,177112,-0.02622950819672132
2023-08-09,11850,12440,11810,12420,209632,0.045454545454545414
2023-08-10,12300,12750,12300,12460,129608,0.0032206119162641045
2023-08-11,12470,12610,12190,12310,217244,-0.012038523274478297
2023-08-14,12250,12580,12200,12380,100582,0.005686433793663737
2023-08-16,12380,12390,12030,12130,177381,-0.020193861066235885
2023-08-17,12030,12230,11880,12090,104062,-0.0032976092333057982
2023-08-18,12080,12080,11640,11770,209441,-0.026468155500413593
2023-08-21,11770,11830,11640,11750,96372,-0.001699235344095107
