Date,Open,High,Low,Close,Volume,Change
2023-04-04,11990,12600,11950,12380,9674920,0.016420361247947435
2023-04-05,12000,12080,11600,11790,3389651,-0.047657512116316636
2023-04-06,11640,13350,11430,12100,13951926,0.026293469041560602
2023-04-07,12150,12350,11850,11960,2128544,-0.011570247933884281
2023-04-10,11890,12720,11480,12480,6955570,0.04347826086956519
2023-04-11,12360,13400,12230,12820,8624451,0.027243589743589647
2023-04-12,12970,14670,12960,13450,16702615,0.049141965678627164
2023-04-13,13600,14300,13000,13840,6262159,0.028996282527881112
2023-04-14,13800,14100,13500,13730,2188112,-0.007947976878612706
2023-04-17,14460,14790,14020,14170,5735831,0.03204661325564451
2023-04-18,14100,14100,12710,13010,2955247,-0.08186309103740297
2023-04-19,12790,13490,12600,12900,2121935,-0.008455034588777832
2023-04-20,13540,14330,12550,12770,6538547,-0.010077519379844913
2023-04-21,12780,14050,12200,13660,8580958,0.06969459671104161
2023-04-24,13880,14270,13530,14270,7172031,0.044655929721815424
2023-04-25,14950,15880,13600,14250,15686190,-0.0014015416958654825
2023-04-26,13720,14000,12950,13000,2540234,-0.08771929824561409
2023-04-27,12160,12240,10950,11670,4775992,-0.10230769230769232
2023-04-28,11770,11990,11040,11040,2197961,-0.05398457583547556
2023-05-02,10740,11290,10580,10920,1424579,-0.010869565217391353
2023-05-03,10920,10920,10250,10330,1295184,-0.05402930402930406
2023-05-04,10400,11920,10400,10880,8097441,0.05324298160696994
2023-05-08,10900,11160,10790,10900,1041235,0.0018382352941177516
2023-05-09,10960,11050,10450,10570,711319,-0.03027522935779814
2023-05-10,10950,11490,10850,10990,2657120,0.039735099337748325
2023-05-11,11180,11530,11120,11180,1794775,0.017288444040036488
2023-05-12,11200,11400,10900,11400,931419,0.019677996422182487
2023-05-15,11310,11920,11170,11590,1741122,0.016666666666666607
2023-05-16,11640,12170,11640,11700,2245053,0.009490940465918918
2023-05-17,11690,11810,11200,11490,833119,-0.017948717948717996
2023-05-18,11510,11600,11250,11360,565357,-0.011314186248912117
2023-05-19,11470,12320,11470,12000,2489712,0.05633802816901401
2023-05-22,11910,12240,11680,12090,1368281,0.007500000000000062
2023-05-23,12100,12440,11860,12110,1148458,0.0016542597187758634
2023-05-24,12000,12100,11710,11750,583243,-0.029727497935590375
2023-05-25,11830,11850,11400,11830,606318,0.006808510638297793
2023-05-26,11830,11830,11350,11350,462797,-0.04057480980557904
2023-05-30,11350,11500,11130,11210,357747,-0.012334801762114544
2023-05-31,11100,11930,11050,11370,927223,0.014272970561998166
2023-06-01,11300,11680,11300,11500,424705,0.011433597185576128
2023-06-02,11580,11670,11450,11560,337463,0.00521739130434784
2023-06-05,11560,12200,11530,12130,1564990,0.049307958477508684
2023-06-07,12220,12400,12060,12290,1132487,0.013190436933223415
2023-06-08,12330,12670,12160,12290,1688634,0.0
2023-06-09,12340,13190,12330,12720,3534538,0.034987794955248175
2023-06-12,12800,12800,12140,12270,1092217,-0.035377358490566
2023-06-13,12330,12660,12160,12320,910941,0.004074979625101838
2023-06-14,12510,12560,11880,12040,746652,-0.022727272727272707
2023-06-15,12060,12270,11930,12050,341928,0.0008305647840531893
2023-06-16,12270,12740,12170,12650,1116274,0.049792531120331995
2023-06-19,12840,12890,12540,12810,1005326,0.012648221343873445
2023-06-20,12750,13290,12630,12760,2388590,-0.0039032006245121043
2023-06-21,12680,12900,12510,12530,515093,-0.018025078369905967
2023-06-22,12300,12380,12070,12150,513150,-0.03032721468475663
2023-06-23,12290,12330,12060,12160,372556,0.0008230452674897748
2023-06-26,12120,12120,11590,11610,468987,-0.04523026315789469
2023-06-27,11490,11980,11450,11750,486819,0.012058570198105079
2023-06-28,11840,11860,11350,11350,299696,-0.03404255319148941
2023-06-29,11400,11400,10950,10950,341916,-0.03524229074889873
2023-06-30,11060,11430,10940,11400,246930,0.041095890410958846
2023-07-03,11630,11860,11500,11830,368978,0.03771929824561404
2023-07-04,11830,11890,11540,11580,285850,-0.021132713440405793
2023-07-05,11610,11610,11160,11280,323495,-0.025906735751295318
2023-07-06,11300,11850,11120,11700,666743,0.037234042553191404
2023-07-07,11610,12140,11520,12140,824866,0.037606837606837695
2023-07-10,12260,12800,12140,12800,2859242,0.054365733113673764
2023-07-11,14040,14270,12920,12930,8067117,0.010156250000000089
2023-07-12,12930,13020,12160,12240,1523247,-0.05336426914153136
2023-07-13,12310,13050,12210,13050,1909975,0.06617647058823528
2023-07-14,12400,12400,11610,11800,1312841,-0.09578544061302685
2023-07-17,11800,11860,11450,11560,403851,-0.02033898305084747
2023-07-18,11500,11940,11260,11320,520937,-0.02076124567474047
2023-07-19,11300,11590,11100,11480,463448,0.014134275618374659
2023-07-20,11480,11500,11250,11330,326429,-0.013066202090592283
2023-07-21,11250,11330,11000,11070,331001,-0.02294792586054717
2023-07-24,11210,11210,10600,10630,531752,-0.039747064137308
2023-07-25,10460,10830,10460,10640,389886,0.0009407337723423836
2023-07-26,10500,10630,9550,9670,928983,-0.09116541353383456
2023-07-27,9620,10220,9620,9950,415528,0.028955532574974185
2023-07-28,9860,10480,9780,10450,334099,0.05025125628140703
2023-07-31,10600,10730,10500,10720,265796,0.02583732057416266
2023-08-01,10730,10860,10450,10670,300535,-0.004664179104477584
2023-08-02,10620,11220,10580,11030,1130725,0.03373945641986875
2023-08-03,11030,11100,10150,10300,556186,-0.06618313689936539
2023-08-04,10300,10700,10140,10490,285119,0.01844660194174752
2023-08-07,10800,10980,10550,10650,415561,0.015252621544327827
2023-08-08,10650,10680,10060,10150,256403,-0.04694835680751175
2023-08-09,10020,10400,9900,10170,233282,0.0019704433497536034
2023-08-10,10000,10430,10000,10100,192074,-0.006882989183874089
2023-08-11,10230,10250,10020,10130,115946,0.002970297029702973
2023-08-14,10100,10220,9930,9940,162851,-0.01875616979269501
2023-08-16,9940,9970,9520,9520,272383,-0.04225352112676062
2023-08-17,9480,9500,8950,9220,295799,-0.031512605042016806
2023-08-18,9010,9190,8850,9110,230978,-0.01193058568329719
2023-08-21,9200,9320,9060,9110,178946,0.0
2023-08-22,9150,9340,8960,9170,215828,0.00658616904500553
2023-08-23,9260,9760,9170,9470,305699,0.03271537622682663
2023-08-24,10000,10000,9450,9530,369360,0.006335797254487963
2023-08-25,9520,9730,9280,9560,221225,0.0031479538300105414
2023-08-28,9800,11500,9670,10710,8179670,0.12029288702928875
2023-08-29,10740,10910,10280,10410,1304069,-0.02801120448179273
2023-08-30,10450,10630,10310,10430,521785,0.0019212295869357465
2023-08-31,10500,11070,10320,10410,2136003,-0.0019175455417066445
2023-09-01,11000,11280,10300,10300,2071029,-0.01056676272814605
2023-09-04,10010,10250,9840,10200,504078,-0.009708737864077666
2023-09-05,10200,10260,10070,10100,222759,-0.009803921568627416
2023-09-06,10060,10270,9970,9970,228060,-0.012871287128712883
2023-09-07,9900,10900,9870,10580,2844406,0.0611835506519558
2023-09-08,10750,10990,10380,10520,1036395,-0.005671077504725952
2023-09-11,10690,10880,10510,10630,753839,0.010456273764258617
2023-09-12,10600,10600,10160,10170,349084,-0.043273753527751646
2023-09-13,10170,10280,9960,9960,270272,-0.020648967551622377
2023-09-14,10020,10170,10000,10080,183401,0.012048192771084265
