Date,Open,High,Low,Close,Volume,Change
2023-04-04,13660,13980,13400,13700,157912,0.0036630036630036
2023-04-05,13710,14380,13710,13930,203088,0.0167883211678832
2023-04-06,13750,13890,13190,13280,145315,-0.0466618808327351
2023-04-07,13470,13940,13430,13870,223853,0.0444277108433734
2023-04-10,14100,14100,13100,13130,184036,-0.053352559480894
2023-04-11,13130,13450,13000,13290,117940,0.012185833968012
2023-04-12,13290,13300,12800,13170,122356,-0.0090293453724604
2023-04-13,13010,13250,12850,13040,109816,-0.0098709187547456
2023-04-14,13170,13280,12960,12960,81634,-0.0061349693251533
2023-04-17,12910,12960,12690,12770,75720,-0.0146604938271605
2023-04-18,12740,12820,12450,12520,102817,-0.0195771339075959
2023-04-19,12630,13100,12610,13000,111922,0.0383386581469649
2023-04-20,13030,13800,12900,13380,337681,0.0292307692307691
2023-04-21,13440,14280,13440,14000,409185,0.046337817638266
2023-04-24,13900,14250,13200,13460,155942,-0.0385714285714285
2023-04-25,13620,13620,12910,13070,126018,-0.0289747399702823
2023-04-26,13250,13420,12830,12850,66803,-0.0168324407039021
2023-04-27,12870,13080,12660,12770,51658,-0.0062256809338521
2023-04-28,12750,13070,12540,12690,97743,-0.0062646828504306
2023-05-02,12700,12990,12450,12930,119958,0.0189125295508274
2023-05-03,12930,13470,12820,13210,74119,0.0216550657385923
2023-05-04,13020,13150,12680,12680,82956,-0.0401211203633611
2023-05-08,12700,13500,12700,13270,92535,0.0465299684542586
2023-05-09,13290,13390,12960,13120,47899,-0.0113036925395628
2023-05-10,13000,13010,12460,12520,146991,-0.0457317073170732
2023-05-11,12530,12730,12530,12560,33130,0.0031948881789136
2023-05-12,12640,12640,12370,12370,49550,-0.0151273885350318
2023-05-15,12440,14250,11910,12350,1583913,-0.0016168148746968
2023-05-16,12350,12460,11990,12010,180181,-0.0275303643724695
2023-05-17,11990,12230,11940,12050,60035,0.003330557868443
2023-05-18,12220,12320,12090,12250,51556,0.0165975103734439
