Date,Open,High,Low,Close,Volume,Change
2025-02-03,23650,26800,17900,17960,12062683,
2025-02-04,17720,17880,16100,16100,2455830,-0.1035634743875278
2025-02-05,15810,18200,15600,16510,2776764,0.0254658385093167
2025-02-06,16900,18130,16630,16710,1914697,0.0121138703815868
2025-02-07,16980,17810,16770,17050,1400398,0.0203470975463793
2025-02-10,17340,22150,17300,22150,7717852,0.2991202346041055
2025-02-11,22600,28750,21150,28750,17463391,0.2979683972911964
2025-02-12,28250,28400,24800,25300,3134126,-0.12
2025-02-13,25100,26050,24500,25850,1536691,0.0217391304347827
2025-02-14,25050,25600,22600,23100,1454001,-0.1063829787234043
2025-02-17,23100,25050,22850,23350,2077604,0.0108225108225108
2025-02-18,23500,24600,23300,24400,1012671,0.044967880085653
2025-02-19,24300,26300,23550,25750,3473009,0.0553278688524589
2025-02-20,24600,24750,23150,23900,836812,-0.0718446601941747
2025-02-21,23650,24900,23400,23550,686874,-0.0146443514644351
2025-02-24,22550,22700,20150,20450,711284,-0.1316348195329086
2025-02-25,20600,21400,19320,19510,557613,-0.0459657701711491
2025-02-26,19240,19820,19200,19350,250695,-0.0082009226037929
2025-02-27,19750,20850,19750,20550,501697,0.0620155038759691
2025-02-28,19860,20300,18720,18860,319220,-0.0822384428223844
2025-03-04,18700,18720,17500,18130,194210,-0.0387062566277837
2025-03-05,18200,18800,17680,18060,154301,-0.0038610038610038
2025-03-06,19150,20600,18200,18400,1034963,0.0188261351052048
2025-03-07,17990,17990,17080,17120,336235,-0.0695652173913043
2025-03-10,17370,17670,16960,16980,232753,-0.0081775700934579
2025-03-11,16170,18290,16100,17180,726219,0.0117785630153122
2025-03-12,17110,18350,17110,18100,641096,0.0535506402793946
2025-03-13,18200,18530,17500,17690,309089,-0.0226519337016574
2025-03-14,17510,19390,17500,18250,1016582,0.031656302996043
2025-03-17,18640,18910,18350,18710,266539,0.0252054794520548
2025-03-18,19160,19450,18340,18470,402757,-0.0128273650454302
2025-03-19,18680,18830,18360,18520,217535,0.0027070925825662
2025-03-20,18810,18850,17570,17570,306212,-0.0512958963282937
2025-03-21,17570,18060,17530,17740,143845,0.0096755833807626
2025-03-24,17740,17740,17200,17480,86281,-0.0146561443066516
2025-03-25,17840,17840,17110,17170,90831,-0.0177345537757437
2025-03-26,17180,17350,16600,17000,110501,-0.0099009900990099
2025-03-27,16880,17030,16230,16840,108476,-0.0094117647058823
2025-03-28,17010,17110,16300,16520,89160,-0.019002375296912
2025-03-31,16180,16180,15480,15810,115870,-0.0429782082324454
2025-04-01,15910,17790,15910,17750,411108,0.1227071473750791
2025-04-02,17950,17950,17120,17220,191618,-0.0298591549295774
2025-04-03,17040,19150,16500,18200,852997,0.056910569105691
2025-04-04,17730,18480,17480,17950,275743,-0.0137362637362636
2025-04-07,17250,17390,16780,17020,204193,-0.0518105849582172
2025-04-08,17350,17660,16720,16860,144386,-0.0094007050528789
2025-04-09,16600,16750,16010,16190,87788,-0.0397390272835113
2025-04-10,17250,17350,16940,17230,95666,0.064237183446572
2025-04-11,16900,17390,16900,17370,85725,0.008125362739408
2025-04-14,17700,18260,17510,17850,135458,0.0276338514680483
2025-04-15,18240,18840,17510,18590,246749,0.0414565826330532
2025-04-16,18550,18550,17440,17540,169524,-0.0564819795589026
