Date,Open,High,Low,Close,Volume,Change
2023-04-04,1007,1130,975,1060,14356066,0.0707070707070707
2023-04-05,1050,1064,1028,1046,1786034,-0.0132075471698113
2023-04-06,1046,1309,1022,1185,39875622,0.1328871892925429
2023-04-07,1167,1397,1164,1286,58905983,0.0852320675105484
2023-04-10,1376,1671,1369,1615,81600194,0.2558320373250389
2023-04-11,1680,1720,1473,1580,21252547,-0.021671826625387
2023-04-12,1610,1619,1476,1480,9586498,-0.0632911392405063
2023-04-13,1479,1560,1414,1455,8115659,-0.0168918918918918
2023-04-14,1457,1750,1457,1589,33354780,0.0920962199312713
2023-04-17,1662,1710,1558,1559,14445243,-0.0188797986154813
2023-04-18,1630,2025,1625,2025,85417318,0.2989095574085951
2023-04-19,2135,2135,1936,2005,8953098,-0.0098765432098765
2023-04-20,1954,1954,1870,1870,3971673,-0.0673316708229426
2023-04-21,1892,1892,1760,1760,3271175,-0.0588235294117647
2023-04-24,1760,2140,1759,1865,48348522,0.0596590909090908
2023-04-25,1827,1839,1518,1560,15203993,-0.163538873994638
2023-04-26,1604,1647,1473,1527,14299005,-0.0211538461538461
2023-04-27,1477,1732,1410,1626,30505766,0.0648330058939097
2023-04-28,1626,1627,1438,1469,8201288,-0.0965559655596556
2023-05-02,1469,1565,1381,1517,7676220,0.0326752893124575
2023-05-03,1514,1820,1464,1691,50880478,0.114700065919578
2023-05-04,1660,1691,1580,1640,8798233,-0.0301596688350088
2023-05-08,1797,1925,1685,1710,29430857,0.0426829268292683
2023-05-09,1774,1783,1610,1620,7834197,-0.0526315789473684
2023-05-10,1630,2105,1630,2105,70793637,0.2993827160493827
2023-05-11,2290,2735,2285,2735,90357404,0.2992874109263659
2023-05-12,3210,3555,3100,3555,40791775,0.29981718464351
2023-05-15,4385,4620,3165,3395,151181250,-0.0450070323488045
2023-05-16,3270,3590,3100,3395,70016133,0.0
2023-05-17,3255,3400,2860,2870,33309234,-0.1546391752577319
2023-05-18,2905,3150,2675,2835,45829659,-0.0121951219512195
2023-05-19,2760,2895,2610,2715,18322970,-0.0423280423280423
2023-05-22,2730,2835,2570,2815,22716976,0.0368324125230201
2023-05-23,2790,3030,2775,2960,27788832,0.0515097690941386
2023-05-24,2915,3230,2865,3060,32585522,0.0337837837837837
2023-05-25,3005,3020,2840,2870,10743253,-0.0620915032679738
2023-05-26,2870,2980,2720,2910,11404450,0.0139372822299652
2023-05-30,3000,3630,2910,3365,87551271,0.1563573883161513
2023-05-31,3575,3680,3165,3170,39122655,-0.0579494799405646
2023-06-01,3125,3415,3040,3180,23067532,0.003154574132492
2023-06-02,3215,3215,2995,3015,9927433,-0.0518867924528302
2023-06-05,3000,3125,2950,3020,8319044,0.0016583747927032
2023-06-07,3020,3275,2980,3140,21767919,0.0397350993377483
2023-06-08,3150,3625,3080,3390,75873733,0.0796178343949045
2023-06-09,3355,3370,3205,3325,15259713,-0.019174041297935
2023-06-12,3340,3530,3270,3405,20166876,0.0240601503759398
2023-06-13,3425,4425,3410,4425,109931283,0.2995594713656389
2023-06-14,4645,5120,4100,4175,91621450,-0.0564971751412429
2023-06-15,4265,4565,3970,4215,34444795,0.0095808383233533
2023-06-16,4175,4190,3980,4085,11487811,-0.0308422301304863
2023-06-19,4045,4335,3990,4140,18830091,0.0134638922888616
2023-06-20,4140,4285,3980,3985,9949357,-0.0374396135265701
2023-06-21,3970,4235,3950,4000,10389546,0.0037641154328733
2023-06-22,4180,4940,4030,4485,90021141,0.12125
2023-06-23,4510,4795,4270,4295,34972775,-0.0423634336677815
2023-06-26,4210,4545,4150,4290,16076356,-0.0011641443538998
2023-06-27,4275,4495,4225,4360,15655452,0.0163170163170163
2023-06-28,4450,4620,4010,4020,14875468,-0.0779816513761467
2023-06-29,4000,4150,3620,3740,11441820,-0.0696517412935323
2023-06-30,3780,3780,3450,3620,9952495,-0.0320855614973262
2023-07-03,3635,3810,3530,3675,8150993,0.0151933701657458
2023-07-04,3700,3760,3510,3560,5617057,-0.0312925170068026
2023-07-05,3575,3960,3535,3685,19301796,0.0351123595505618
2023-07-06,3720,3985,3715,3850,13374569,0.0447761194029849
2023-07-07,3860,3900,3630,3745,4974690,-0.0272727272727272
2023-07-10,3755,3775,3545,3600,4325907,-0.0387182910547396
2023-07-11,3630,3690,3515,3565,6068208,-0.0097222222222221
2023-07-12,3565,3565,3285,3380,7872101,-0.0518934081346423
2023-07-13,3470,3870,3350,3490,31847452,0.0325443786982249
2023-07-14,3495,3535,3300,3350,6113707,-0.0401146131805157
2023-07-17,3350,3430,3240,3325,4680654,-0.0074626865671642
2023-07-18,3310,3640,3290,3470,15655886,0.0436090225563909
2023-07-19,3385,3490,3310,3315,6286050,-0.0446685878962536
2023-07-20,3320,3320,3165,3195,3275587,-0.0361990950226244
2023-07-21,3145,3155,3005,3015,5169901,-0.0563380281690141
2023-07-24,3015,3085,2915,2980,5913888,-0.011608623548922
2023-07-25,2910,2940,2785,2800,5300268,-0.0604026845637584
2023-07-26,2850,2850,2575,2710,7282152,-0.0321428571428571
2023-07-27,2805,2910,2525,2525,10793207,-0.0682656826568265
2023-07-28,2455,2655,2420,2615,3788781,0.0356435643564356
2023-07-31,2640,2805,2615,2730,3364888,0.0439770554493308
2023-08-01,2750,2790,2605,2635,3063552,-0.0347985347985347
2023-08-02,2600,3195,2580,3050,47670475,0.1574952561669829
2023-08-03,2990,3320,2800,2820,24828317,-0.0754098360655737
2023-08-04,2755,2775,2640,2705,4381036,-0.0407801418439716
2023-08-07,2660,2950,2620,2770,7568374,0.0240295748613679
2023-08-08,2730,2805,2610,2625,3940571,-0.0523465703971118
2023-08-09,2700,2950,2610,2780,12711048,0.059047619047619
2023-08-10,2730,2765,2680,2680,2759937,-0.0359712230215827
2023-08-11,2680,2785,2640,2670,4131551,-0.003731343283582
2023-08-14,2655,2660,2515,2525,2976963,-0.0543071161048689
2023-08-16,2450,2765,2450,2535,9227270,0.0039603960396039
2023-08-17,2515,2515,2360,2485,3892080,-0.019723865877712
2023-08-18,2475,2505,2390,2405,2503660,-0.0321931589537223
2023-08-21,2430,2490,2420,2435,1850729,0.0124740124740123
2023-08-22,2590,2645,2440,2455,5337778,0.0082135523613962
2023-08-23,2600,2625,2465,2505,4348362,0.0203665987780041
2023-08-24,2580,2580,2490,2495,3577504,-0.0039920159680638
2023-08-25,2445,2445,2380,2385,2413710,-0.0440881763527054
2023-08-28,2395,2410,2280,2385,2735891,0.0
2023-08-29,2400,2890,2370,2570,37657343,0.0775681341719076
2023-08-30,2545,2685,2485,2580,11275065,0.0038910505836575
2023-08-31,2970,2975,2605,2620,21581405,0.0155038759689922
2023-09-01,2595,2665,2510,2520,4294348,-0.0381679389312976
2023-09-04,2605,2725,2605,2630,9439333,0.0436507936507937
2023-09-05,2600,2720,2600,2680,5229043,0.0190114068441065
2023-09-06,2700,2705,2600,2610,2581268,-0.0261194029850746
2023-09-07,2600,2610,2510,2540,2484993,-0.0268199233716475
2023-09-08,2600,2640,2505,2515,3424359,-0.0098425196850393
2023-09-11,2525,2550,2410,2420,2235379,-0.0377733598409543
2023-09-12,2425,3145,2425,2985,72325952,0.2334710743801653
2023-09-13,3300,3310,2690,2715,37903806,-0.0904522613065326
2023-09-14,2730,2925,2685,2805,14231214,0.0331491712707181
2023-09-15,2775,2880,2740,2780,6801930,-0.0089126559714795
2023-09-18,2730,2845,2710,2750,4521173,-0.0107913669064748
2023-09-19,2725,2745,2565,2585,3750977,-0.06
2023-09-20,2610,2665,2525,2550,2842265,-0.0135396518375241
2023-09-21,2530,2605,2510,2535,1980416,-0.0058823529411764
2023-09-22,2500,2550,2455,2495,1810005,-0.0157790927021695
2023-09-25,2495,2530,2365,2385,2257008,-0.0440881763527054
2023-09-26,2415,2415,2305,2310,1691810,-0.0314465408805031
